China;CHN;780726;552067;440359;436696;436923;475973;522790;433234;468929;577237;771617;876633;931576;968543;988014;1145607;1196194;1310311;1462169;1494860;1467192;1451501;1580261;1667029;1814908;1966553;2068969;2209709;2369502;2408541;2442431;2565595;2690456;2878694;3058241;3320285;3463089;3469510;3324345;3318056;3405180;3487566;3850269;4540417;5233539;5896958;6529292;7030798;7553070;8001009;8776040;9733538;10028574;10258007;10291927
Cote d'Ivoire;CIV;462;554;587;623;763;1173;1294;1489;1764;2087;2442;2706;3014;3209;3561;3990;3964;4056;4818;5423;6223;4466;6109;4840;5405;7327;5966;7682;9160;8522;5035;4562;4100;5346;4686;6619;7840;7569;6912;6267;6791;7726;7286;5460;7664;7825;6997;6777;6777;5658;6967;7250;9296;10686;11045
Cameroon;CMR;271;282;290;301;337;312;345;458;506;572;638;810;862;898;975;1162;1093;1566;2002;1830;3905;5343;6344;6590;6058;6476;1995;1845;2200;7635;1734;1104;3788;3898;3817;4228;4463;3216;3209;3080;3432;3421;3418;3795;3957;3696;3861;5834;5545;6725;6780;5768;6128;6773;7004
Congo, Dem. Rep.;COD;2321;2358;2175;2296;1977;2472;2406;2292;3370;3652;2714;2963;3022;3194;3370;3238;3414;3487;3539;3755;3502;3777;3073;4026;3964;3641;3377;3854;4019;4393;4070;2963;2816;2593;1639;2123;2318;1900;1668;1382;814;836;928;986;1199;1500;1610;1756;1859;1749;2021;2494;2402;3590;4672
Congo, Rep.;COG;224;268;238;235;268;246;308;323;451;502;572;686;664;1221;1624;1100;1236;480;323;348;407;473;1346;1144;1140;1280;1067;1324;1500;1507;1188;1005;1280;1320;2149;1566;1716;2343;777;821;1049;766;576;917;950;983;1118;1214;1309;1745;1980;2259;2970;3088;3095
Colombia;COL;16410;18218;19442;21258;21709;22886;23502;24716;26604;28049;28405;30326;31481;33700;36479;35896;38089;39354;41683;44433;44356;44459;45915;49449;48980;48379;49101;50487;52445;53234;57337;57121;62049;64022;67572;59614;60528;64910;65977;56512;57924;56274;55661;57422;55071;60946;62940;62431;68089;72662;76175;76530;79952;89625;84092
Comoros;COM;11;11;11;11;11;15;18;18;18;18;29;29;29;29;29;33;40;40;29;22;48;48;48;48;48;48;44;48;51;51;62;66;66;70;70;73;77;81;88;92;103;103;103;132;143;139;161;103;106;132;161;136;143;176;154
Cabo Verde;CPV;22;22;18;15;29;26;22;18;29;37;37;37;51;62;66;77;73;81;209;249;121;33;37;37;84;84;59;81;73;81;95;99;106;110;114;121;143;147;158;183;216;235;275;308;330;440;473;506;469;524;557;616;506;499;491
Costa Rica;CRI;491;491;550;601;675;847;994;876;1038;1148;1250;1529;1764;2046;1907;2039;2087;2615;2923;2794;2464;2252;2087;2105;2002;2266;2607;2758;2941;2974;2956;3337;3792;3953;5269;4866;4749;4987;5317;5523;5475;5761;6326;6626;6931;6868;7099;8122;8130;7902;7569;7741;7767;7598;7759
Caribbean small states;CSS;5878;8804;11771;5985;10653;11918;11756;14026;14026;14870;20961;25060;25581;30671;29483;31584;34767;38606;37092;37524;38837;32567;31621;28639;28900;31973;27895;29241;27147;29904;31595;32075;33945;33153;32856;33692;37836;36021;36989;40814;42493;45544;46637;50476;52233;56747;62266;63674;63355;61866;64792;64272;62863;65053;63637
Cuba;CUB;13700;12182;14169;13040;14294;14609;15185;15750;16036;17261;18672;19607;20799;22398;22911;27066;27224;29402;30689;31712;31401;32750;34554;30843;32603;32578;33568;33953;35636;35739;33344;29710;31294;29380;32248;25709;26996;24650;24499;25332;26083;25453;26091;25486;25005;26006;27407;26795;30443;29897;38375;35988;36157;34800;34837
Curacao;CUW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5999;5214;5882
Cayman Islands;CYM;11;11;11;11;11;11;18;15;22;44;37;44;55;59;55;55;66;70;92;92;161;154;161;169;183;191;202;216;224;257;249;271;312;330;363;363;385;407;429;429;466;469;488;495;462;473;484;572;583;557;557;587;535;535;543
Cyprus;CYP;887;865;906;986;1001;1151;1243;1364;1624;1672;1705;1885;2406;2501;1925;1980;2464;2670;2809;3003;3209;3047;3102;3099;3183;3102;3546;4122;4129;4342;4375;4690;5181;5449;5644;5383;5937;5860;6406;6377;6931;6846;7022;7748;7334;7503;7789;8196;8577;8111;7708;7426;6920;5948;6062
Czech Republic;CZE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138176;132632;125734;123831;125378;127414;122544;111976;123849;123721;119750;122060;116776;120109;122107;123303;116658;107659;111579;106908;101030;98675;96475
Germany;DEU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;929973;891976;877645;865559;864110;889614;862277;855364;822460;829978;853663;829725;822812;816802;797180;816472;780547;780565;722263;758860;732498;739861;757313;719883
Djibouti;DJI;40;44;48;66;84;121;139;88;121;84;139;161;191;180;194;198;198;198;202;363;348;301;348;348;352;359;378;389;348;389;323;312;312;312;304;304;312;326;315;315;341;367;400;422;407;414;411;462;499;462;517;473;517;609;722
Dominica;DMA;11;11;11;15;15;15;15;22;22;18;26;26;26;26;29;29;29;26;26;33;37;37;40;40;44;48;48;48;55;59;59;59;59;62;66;81;73;81;77;81;103;110;103;117;114;117;114;154;132;132;139;128;136;132;136
Denmark;DNK;29780;31734;36927;40707;43190;44338;50128;49075;53326;59402;62101;57062;59644;59266;55078;55779;60135;61848;61118;62999;60370;51789;53696;50176;50861;60073;58903;58342;55108;48786;50231;60271;54323;57066;61001;57172;72181;61558;59552;55148;51331;52918;52049;55999;50601;47095;54987;50256;46934;44510;46641;40645;36428;38533;33498
Dominican Republic;DOM;1041;1030;1243;1250;1749;1547;1672;1569;2351;2655;3110;3524;4675;5966;6417;6340;6333;5614;5449;6810;6458;6168;6340;7913;7444;7294;8181;9754;9835;10367;9230;10044;10924;11764;12475;15885;17327;18001;18397;18562;19791;19816;21331;21514;18309;18639;19783;21173;20711;20227;21023;21228;22123;21441;21540
Algeria;DZA;6161;6065;5669;5427;5651;6597;8430;8441;9061;11276;15075;18669;28350;38313;31907;32031;39171;41892;62530;45621;66519;46439;39270;52625;71103;72786;76277;84121;83949;80047;76970;79050;80139;82210;86417;95294;97098;87341;106999;92045;87861;84220;89908;91576;88510;107278;101070;109405;110208;121400;119178;121187;129988;134465;145400
East Asia & Pacific (excluding high income);EAP;852797;623027;509627;506657;513528;558537;616281;535189;584689;705613;914611;1029392;1091262;1143764;1160767;1328936;1392355;1535492;1706620;1749064;1725480;1714593;1851104;1952649;2104262;2275308;2388444;2546786;2732539;2785212;2864275;3045420;3216890;3457280;3667655;3996722;4202091;4259611;4016009;4049087;4197276;4342204;4736796;5488494;6246987;6940456;7575023;8122758;8727787;9227347;10039666;11172155;11515570;11634035;11688627
Early-demographic dividend;EAR;582183;606143;641191;671870;716684;768296;807440;877564;972044;1021631;1098450;1171860;1224906;1347949;1399948;1430968;1555576;1666902;1749878;1848616;1938022;2012199;2102819;2158703;2234947;2354467;2473251;2573526;2700346;2827455;2851175;3077550;3173490;3330373;3448305;3500969;3684279;3784619;3885535;4080693;4236793;4289756;4370301;4598873;4833377;5002701;5278881;5489631;5868139;6099152;6167447;6501540;6881092;6722579;7079255
East Asia & Pacific;EAS;1210072;1041181;948555;991795;1046002;1134631;1230384;1241557;1376914;1608550;1971532;2127032;2264146;2412761;2434009;2570142;2701950;2903579;3081138;3203042;3193797;3161342;3279927;3379308;3613905;3782660;3913008;4093945;4421226;4559019;4703785;4912997;5156987;5447900;5758134;6122093;6413087;6523428;6184239;6313362;6547513;6681613;7132996;7900305;8716017;9373914;10029012;10634881;11224860;11631078;12584718;13753829;14109486;14258139;14272115
Europe & Central Asia (excluding high income);ECA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3779610;3473190;3043978;2952373;2886554;2704553;2665154;2675478;2712569;2714097;2731553;2852687;2884596;2903823;3014546;3058772;3113011;2833284;3034186;3182121;3244308;3155716;3046610
Europe & Central Asia;ECS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7644381;7275290;6816598;6775803;6822776;6568968;6552559;6506504;6557164;6640964;6628475;6820400;6864186;6866418;7002692;6971911;6959492;6390991;6703823;6682339;6685251;6551569;6245992
Ecuador;ECU;1764;1646;1566;1797;2145;2277;2420;2593;3117;3594;4283;4224;4595;5262;6091;7363;8111;7484;10425;12167;13443;16692;19288;19556;21258;19431;15277;15115;17272;20268;16828;16498;22281;24206;13652;22842;24191;18361;22460;21496;20719;23117;24950;26967;29046;30264;28859;31888;33868;36069;36461;38610;38140;40997;43920
Egypt, Arab Rep.;EGY;16054;17088;18595;21555;25522;27642;26564;19677;22904;19695;21687;23047;25511;23795;26124;31100;34495;37865;39314;42948;45240;50979;56523;57092;63839;63938;74565;74810;74532;72181;75944;78716;81264;93156;85313;95723;102031;108202;122243;125393;141326;125452;127194;147963;150912;167208;178587;189093;198586;206734;202715;217163;217068;213412;201894
Euro area;EMU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2648356;2580076;2526548;2513971;2567956;2634270;2600981;2648245;2618685;2637002;2702326;2701886;2741596;2767041;2750877;2752366;2704750;2642510;2443076;2496138;2402098;2352138;2308652;2191542
Eritrea;ERI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;865;935;1012;865;590;620;609;631;605;726;770;766;561;579;414;513;513;594;660;667;697
Spain;ESP;48929;53678;60054;58822;64411;71118;77729;86519;97157;96882;116930;128682;145026;155367;173152;181645;198443;195664;200493;203746;215004;207288;209906;204868;198953;201234;190468;190878;199034;226672;218597;225634;233922;219254;233405;241611;233306;252073;261541;282355;294434;297830;314519;321097;339429;353462;350037;358237;329286;288237;270911;270548;264779;237035;233977
Estonia;EST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23880;19508;19043;17521;18350;18108;16311;15159;14859;15570;14888;17125;17283;16755;16175;18709;17492;14565;18108;18606;17624;19893;19519
Ethiopia;ETH;352;341;396;422;407;645;825;1074;1727;1668;1654;1852;1408;1753;1738;1210;1177;1049;1371;1848;1822;1867;1481;1845;1665;1815;2215;2582;2673;2827;3018;2985;2967;3029;2241;2563;2860;3051;3220;3157;3550;4353;4521;4987;5295;5119;5504;6014;6579;6630;6586;7726;8562;10634;11599
European Union;EUU;2359595;2445946;2587256;2763661;2879590;2977006;3066068;3135495;3317199;3520601;3753441;3846742;3999496;4203895;4142869;4065318;4331570;4315908;4457561;4647644;4518359;4266013;4171917;4111986;4084429;4189511;4179574;4258990;4202997;4323274;4100787;4112589;3994291;3938794;3884988;3947856;4055918;3963004;3968801;3896092;3911985;3997697;3973998;4047103;4056135;4039747;4071767;4003411;3915304;3601566;3709776;3568090;3494156;3421472;3241844
