country;id;year;;;;
Bahrain;BHR;1994;0,0077;0,8128;0,1773;0,0021
Bahrain;BHR;1995;0,008;0,8125;0,1774;0,0021
Bahrain;BHR;1996;0,0084;0,8104;0,1792;0,002
Bahrain;BHR;1997;0,0079;0,8139;0,1761;0,0021
Bahrain;BHR;1998;0,0076;0,8132;0,1772;0,0021
Bahrain;BHR;1999;0,007;0,8209;0,17;0,0021
Bahrain;BHR;2000;0,0068;0,8173;0,1739;0,002
Bahrain;BHR;2001;0,0065;0,8183;0,1732;0,0019
Bahrain;BHR;2002;0,0066;0,8199;0,1716;0,0019
Bahrain;BHR;2003;0,0066;0,8192;0,1666;0,0075
Bahrain;BHR;2004;0,0067;0,827;0,1643;0,002
Bahrain;BHR;2005;0,007;0,8243;0,1667;0,002
Bahrain;BHR;2006;0,0064;0,8406;0,15;0,003
Bahrain;BHR;2007;0,006;0,8471;0,1418;0,0051
Bahrain;BHR;2008;0,0059;0,8502;0,1418;0,002
Bahrain;BHR;2009;0,0056;0,8571;0,1352;0,0022
Bahrain;BHR;2010;0,0057;0,855;0,1374;0,002
Bahrain;BHR;2011;0,0054;0,8589;0,1334;0,0023
Bahrain;BHR;2012;0,0059;0,8573;0,1349;0,0019
Bahrain;BHR;2013;0,0062;0,8576;0,1344;0,0019
Bahrain;BHR;2014;0,0062;0,8647;0,1272;0,0019
Bangladesh;BGD;1990;0,0063;0,8685;0,1235;0,0017
Bangladesh;BGD;1991;0,0001;0,3736;0,4772;0,1491
Bangladesh;BGD;1992;0,0001;0,367;0,477;0,1559
Bangladesh;BGD;1993;0,0001;0,3696;0,4741;0,1562
Bangladesh;BGD;1994;0,0001;0,372;0,4699;0,1579
Bangladesh;BGD;1995;0,0001;0,3728;0,4666;0,1604
Bangladesh;BGD;1996;0,0001;0,3815;0,4541;0,1643
Bangladesh;BGD;1997;0,0002;0,382;0,4502;0,1676
Bangladesh;BGD;1998;0,0002;0,3921;0,447;0,1607
Bangladesh;BGD;1999;0,0003;0,3946;0,4444;0,1607
Bangladesh;BGD;2000;0,0003;0,3907;0,4435;0,1654
Bangladesh;BGD;2001;0,0004;0,397;0,4392;0,1634
Bangladesh;BGD;2002;0,0005;0,4108;0,4271;0,1616
Bangladesh;BGD;2003;0,0006;0,4136;0,4236;0,1621
Bangladesh;BGD;2004;0,0008;0,4184;0,4235;0,1573
Bangladesh;BGD;2005;0,0009;0,4272;0,4156;0,1563
Bangladesh;BGD;2006;0,001;0,4298;0,412;0,1571
Bangladesh;BGD;2007;0,0015;0,3965;0,4321;0,1699
Bangladesh;BGD;2008;0,0019;0,4033;0,4276;0,1672
Bangladesh;BGD;2009;0,0021;0,4154;0,4128;0,1697
Bangladesh;BGD;2010;0,0025;0,4284;0,4068;0,1623
Bangladesh;BGD;2011;0,0027;0,4471;0,3926;0,1576
Bangladesh;BGD;2012;0,0029;0,4785;0,3667;0,1519
Bangladesh;BGD;2013;0,0033;0,4904;0,361;0,1453
Bangladesh;BGD;2014;0,0036;0,5002;0,3626;0,1336
Barbados;BRB;1990;0,004;0,5061;0,3595;0,1305
